gr.id,smp.id,Repetition,Year,State,Type,JDctr,det.id,distance,vis.id,size
379,770,1,2008,TN,TREAT,-22,985,40,2008_1,1
380,771,1,2006,TN,CONTROL,14,NA,NA,2006_1,NA
380,771,1,2007,TN,CONTROL,11,NA,NA,2007_1,NA
380,771,1,2008,TN,CONTROL,-1,NA,NA,2008_1,NA
380,772,1,2006,TN,TREAT,14,NA,NA,2006_1,NA
380,772,1,2007,TN,TREAT,11,986,188,2007_1,1
380,772,1,2008,TN,TREAT,-1,987,304,2008_1,1
381,773,1,2006,TN,CONTROL,-13,NA,NA,2006_1,NA
381,773,1,2007,TN,CONTROL,-7,988,124,2007_1,1
381,773,2,2007,TN,CONTROL,12,989,200,2007_2,1
381,773,1,2008,TN,CONTROL,-11,NA,NA,2008_1,NA
381,774,1,2006,TN,TREAT,-13,990,221,2006_1,1
381,774,1,2006,TN,TREAT,-13,991,84,2006_1,1
381,774,1,2007,TN,TREAT,-7,992,200,2007_1,1
381,774,2,2007,TN,TREAT,12,993,204,2007_2,1
381,774,2,2007,TN,TREAT,12,994,354,2007_2,1
381,774,1,2008,TN,TREAT,-11,995,195,2008_1,1
381,774,1,2008,TN,TREAT,-11,996,308,2008_1,1
382,775,1,2008,TN,CONTROL,7,NA,NA,2008_1,NA
382,776,1,2008,TN,TREAT,7,NA,NA,2008_1,NA
383,777,1,2006,TN,CONTROL,4,NA,NA,2006_1,NA
383,777,1,2008,TN,CONTROL,8,NA,NA,2008_1,NA
383,778,1,2006,TN,TREAT,4,NA,NA,2006_1,NA
383,778,1,2008,TN,TREAT,8,NA,NA,2008_1,NA
384,779,1,2006,TN,CONTROL,-17,NA,NA,2006_1,NA
384,779,1,2007,TN,CONTROL,-11,NA,NA,2007_1,NA
384,779,1,2008,TN,CONTROL,1,NA,NA,2008_1,NA
384,780,1,2006,TN,TREAT,-17,997,246,2006_1,1
384,780,1,2007,TN,TREAT,-11,NA,NA,2007_1,NA
384,780,1,2008,TN,TREAT,1,NA,NA,2008_1,NA
385,781,1,2006,TN,CONTROL,-17,NA,NA,2006_1,NA
385,781,1,2007,TN,CONTROL,9,NA,NA,2007_1,NA
385,781,1,2008,TN,CONTROL,-7,NA,NA,2008_1,NA
385,782,1,2006,TN,TREAT,-17,998,160,2006_1,1
385,782,1,2006,TN,TREAT,-17,999,185,2006_1,1
385,782,1,2006,TN,TREAT,-17,1000,260,2006_1,1
385,782,1,2007,TN,TREAT,9,NA,NA,2007_1,NA
385,782,1,2008,TN,TREAT,-7,NA,NA,2008_1,NA
386,783,1,2006,TN,CONTROL,5,NA,NA,2006_1,NA
